[enu default]
SCEN5LINE76= "CVV: nice. I'm still making the chart, so\ninvite more people, if you will, Hijiri.\nthank you.";
// Miko_4
SCEN5LINE77= "CVV: speaking of which, I'm not sure\nwhat's taking VH and DV so long.";
// Futo_2
SCEN5LINE78= "?VD: The latter is being scrote-gripped\nby the former, as usual. They shall come\naround, do not worry.";
SCEN5LINE79= "?VD: Maybe they are playing Go\ntogether? VH is quite excellent at the\ngame, and I oft find myself wasting hours\nplaying with her. Perhaps the same is\nhappening to DV?";
SCEN5LINE79a= "?VD: Nonetheless, 'til then, I bid thee\nadieu.";
SCEN5LINE80= "\c[Futo]? vanguardDemolitionist [?VD]\c- ceased responding to memo.";
SCEN5LINE80a= "? vanguardDemolitionist [?VD] ceased responding to memo.";
// Byak_1
SCEN5LINE81= "CVB: I thought you invited the others.";
// Kyouko_4
SCEN5LINE82= "CBV: i did!! !! most of them are busy!! !!";
// Kyouko_2
SCEN5LINE83= "CBV: one of them took a nap that much i\nknow because nazrin told me";
// Kyouko_6
SCEN5LINE84= "CBV: so i guess we shouldnt hope to be\nseeing them anytime here soon";
// Kyouko_2
SCEN5LINE85= "CBV: the others should be here tho!! !!";
SCEN5LINE86= "\c[Murasa]current bootyDestroyer [CBD]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE86a= "current bootyDestroyer [CBD] RIGHT NOW responded to memo.";
// Murasa_6B
SCEN5LINE87= "CBD: Ahoy!";
// Byak_1
SCEN5LINE88= "CVB: Oh, hey.";
// Byak_5
SCEN5LINE89= "CVB: Did you mess with your surveillance\nsettings again? We told you not to do\nthat, remember? And you're still at it\nwith that fake mariner speak?";
// Murasa_1B
SCEN5LINE90= "CBD: Saury, I didn' come here to speak\nabout that. 'Tis my business if I wants\nto commune a certain way, savvy?";
// Byak_6
SCEN5LINE91= "CVB: You really should have gotten over\nthings a while ago, Captain. You do know\nyou're digging your own grave every\ntime you do this, right?";
// Murasa_6B
SCEN5LINE92= "CBD: Unimportant matters aside, be she\nin here?";
// Byak_4
SCEN5LINE93= "CVB: Wait, who?";
// Murasa_5B
SCEN5LINE94= "CBD: I'll take that as a no then.";
SCEN5LINE95= "\c[Murasa]current bootyDestroyer [CBD]\c- ceased responding to memo.";
SCEN5LINE95a= "current bootyDestroyer [CBD] ceased responding to memo.";
// Byak_5
SCEN5LINE96= "CVB: GOD, this is just incredibly\nU N O R G A N I Z E D.";
// Byak_1
SCEN5LINE97= "CVB: You know what? I'm just gonna\nleave this open here for a while.\nThere's way too many things going on\nand I really need to get my stuff ready.";
// Kyouko_4
SCEN5LINE98= "CBV: im sorry byakak i swear i invited\nthem............. but they all seem to be\nbusy with something.";
// Kyouko_6
SCEN5LINE99= "CBV: or napping";
// Byak_5
SCEN5LINE100= "CVB: I know, I know. It's not your fault,\nso don't worry too much about it.";
// Kyoko_3
SCEN5LINE101= "CBV: dont worry ill drag the capn back in\nhere even if its the last thing i do!! !!";
// Kyouko_4
SCEN5LINE102= "CBV: actually no theyre kinda weird to\nbe honest sooooooooooooo ill not get\ninto that mess";
SCEN5LINE103= "\c[Nazrin]current hungryHoarder [CHH]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE103a= "current hungryHoarder [CHH] RIGHT NOW responded to memo.";
// Naz_3
SCEN5LINE104= "CHH: I heard there were some toast and\nbananas up in here.";
// Kyouko_1
SCEN5LINE105= "CBV: hi naz!! !! and no, sorry!! !!";
// Naz_4
SCEN5LINE106= "CHH: Oh no! This is the worst breakfast\nclub ever!\n\n|n";
// Kyouko_2
SCEN5LINE107= "CBV: heheheh!! !!";
// Naz_1
SCEN5LINE108= "CHH: Hijiri, I heard about what had\nhappened and to be quite honest with\nyou I think it's the better thing to do.";
// Naz_2
SCEN5LINE109= "CHH: I mean, we had 7 people on our team\nwhile they had 5.";
// Naz_3
SCEN5LINE110= "CHH: We weren't even to begin with\nanyway! ZING!\n\nEven then, I kind of wanted to go on my\nown, heh.";
// Byak_5
SCEN5LINE111= "CVB: I was planning on playing for both\nteams.";
// Kyouko_1
SCEN5LINE112= "CBV: whoa kinky!! !! btw this is a joke\n\nyes";
// Byak_6
SCEN5LINE113= "CVB: I mean, I'm sure I could've handled\nbeing on two teams... I would have been\nable to deal with them, no problem.";
// Naz_2
SCEN5LINE114= "CHH: Heh, yeah, for sure.";
// Naz_1
SCEN5LINE115= "CHH: There's not that many people in\nhere yet. You sure you invited\neveryone?";
// Kyouko_4
SCEN5LINE116= "CBV: capn was in here but they left. idk\nwhy tho. maybe they wanted to talk to\nthat VD person?? ??";
// Naz_3
SCEN5LINE117= "CHH: Yes, because she wants to talk to\nsomeone she hates. Perfect logic, you\nget the gold prize! Except, I took it,\nsorry.";
// Kyouko_3
SCEN5LINE118= "CBV: oh nooooooooooooo!! !!";
// Naz_2
SCEN5LINE120= "CHH: Hee hee hee.";
SCEN5LINE121= "\c[Ichirin]CURRENT blissfulBillows [CBB]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE121a= "CURRENT blissfulBillows [CBB] RIGHT NOW responded to memo.";
// Ichi_1
SCEN5LINE122= "CBB: Oh no am I interrupting your food\nparty?";
// Kyouko_3
SCEN5LINE123= "CBV: yesssssssssssss!! !!";
// Kyouko_1
SCEN5LINE124= "CBV: i mean no but i was just pumped so i\nsaid yes!! !!";
// Kyouko_2
SCEN5LINE125= "CBV: anyway hello!! !! glad you answered\nthe message i left!! !!";
// Ichirin_1
SCEN5LINE126= "CBB: Hi & yeah i saw it so chill & dont\nworry";
// Byak_1
SCEN5LINE127= "CVB: Where's the Captain, by the way?\nShe came in here and she sounded\nextremely upset.";
// Ichirin_6
SCEN5LINE128= "CBB: She heard about the team changes\nor the changes in general whatever &\nkind of got a bit pissy?????? & then she\ntold me someone yanked her mail??????";
// Ichirin_7
SCEN5LINE130= "CBB: Happened just now too...... so im not\nsure whats going on there";
// Byak_6
SCEN5LINE131= "CVB: Oh, huh, she was just in here...";
// Byak_1
SCEN5LINE132= "CVB: So, you heard about the extra\nplayer and how we're disbanding teams\nnow, yes? This is important so we know\nwho to assign everyone to.";
// Ichirin_1
SCEN5LINE133= "CBB: Uh huh yeah i did & im guessing\nthats what this memo is for right?";
// Ichirin_2
SCEN5LINE134= "CBB: Its not that big of a problem so\nlong as we all have fun in the end i think";
// Naz_3
SCEN5LINE135= "CHH: As long as I win, duh. I'm going to get\nthe best prize.";
// Kyouko_2
SCEN5LINE136= "CBV: heh right right!! !! except im pretty\nsure everyone is supposed to get it\ntogether";
// Naz_1
SCEN5LINE137= "CHH: Yeah.";
SCEN5LINE138= "\c[Nue]CURRENT heianBurden [CHB]\c- RIGHT NOW responded to memo.";
SCEN5LINE138a= "CURRENT heianBurden [CHB] RIGHT NOW responded to memo.";
SCEN5LINE139= "\c[Mamz]CURRENT ballsyHellraiser [CBH]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE140= "CURRENT ballsyHellraiser [CBH] RIGHT NOW responded to memo.";
// Byak_2
SCEN5LINE141= "CVB: Oh, speak of the devil.";
// Mamz_3
SCEN5LINE142= "CBH: oh hey sup";
// Mamz_2
SCEN5LINE143= "CBH: sorry for messin with yalls\nschedules and whatnot i didnt really\nmean to";
// Byak_1
SCEN5LINE144= "CVB: Yeah... that was rather\nunexpected. Just be glad everyone\nseems to be okay with it.";
// Nue_6
SCEN5LINE145= "CHB: hijiri! again, im really sorry about\nall this stuff.";
// Miko_1
SCEN5LINE146= "CVV: ah, perfect timing. BH, im guessing\nis the newest addition to our session?\nyour last name was Futatsuiwa, wasn't\nit? ";
SCEN5LINE147= "CVV: I mean I certainly have not seen you\nprior to today.";
// Mamz_1
SCEN5LINE148= "CBH: yea sorry about all this";
// Miko_6
SCEN5LINE149= "CVV: you're going to be paired with VH.\nshe isn't here yet, but you'll know when\nshe is.";
// Miko_1
SCEN5LINE150= "CVV: she wanted to go first, and\ncoincidentally, you're going last, so...\nyeah.";
// Miko_6
SCEN5LINE151= "CVV: protip: just don't provoke her or\nanything like that, alright?";
// Mamz_2
SCEN5LINE152= "CBH: ey its quite alright\n\ni know my way around the uneasies";
// Mamz_1
SCEN5LINE153= "CBH: yknow yknow";
// Nue_2
SCEN5LINE154= "CHB: she's trying to tell you that VH is a\nbitch.";
// Mamz_1
SCEN5LINE155= "CBH: no biggie smalls";
// Miko_3
SCEN5LINE156= "CVV: well, either way, I shall wish you\nthe best of luck. I'll send all of you your\ndesignated clients and servers in\nprivate messages since not everyone is\nin here.";
SCEN5LINE157= "\c[Soga]? halvedVoltage [?HV]\c- ? HOURS FROM NOW responded to\nmemo.";
SCEN5LINE157a= "? halvedVoltage [?HV] ? HOURS FROM NOW responded to memo.";
SCEN5LINE158= "\c[Seiga]CURRENT vivaciousHollows [CVH]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE158a= "CURRENT vivaciousHollows [CVH] RIGHT NOW responded to memo.";
// Soga_5
SCEN5LINE159= "?HV: Oh my GOD, you ass monkeys really\ndid name it Toast and Bananas.";
SCEN5LINE160= "\c[Seiga]CVH\c- banned \c[Soga]?HV\c- from responding to the memo.";
SCEN5LINE160a= "CVH banned ?HV from responding to the memo.";
// Kyouko_6
SCEN5LINE161= "CBV: wtf you can do that?? ?? since\nwhen?? ??";
// Seiga_3
SCEN5LINE162= "CVH: I know my way around things~";
// Seiga_2
SCEN5LINE163= "CVH: And sorry for being late, I was\nhelping a certain someone out with her\ninstallation and such. I've already got\nher things nice and ready.";
// Seiga_1
SCEN5LINE164= "CVH: That aside, it's not good to\nclutter up the board with strange\nmessages, especially ones that sound\nas profane as HV's, all the time. Don't\nmind her.";
// Seiga_2
SCEN5LINE165= "CVH: She's busy at the moment anyway.\nNow, where is my darliiiing server\nplayer~?";
// Mamz_1
SCEN5LINE166= "CBH: oh you mean me";
SCEN5LINE167= "CBH: cuz thats me";
// Seiga_6
SCEN5LINE168= "CVH: Hm. You certainly aren't very\neloquent, are you?";
// Mamz_6
SCEN5LINE169= "CBH: uh i dont see how thats important";
// Seiga_2
SCEN5LINE170= "CVH: True, we don't have to talk much\nwhen you're serving for me anyway,\nwhich will be a good thing, for both of\nus, I take it.";
// Seiga_6
SCEN5LINE171= "CVH: Honestly, they should have\nassigned someone better. I can't believe\nyou're the reason this memo was even\ncreated for.";
// Mamz_6
SCEN5LINE172= "CBH: whoa turn down the rude\n\nno need to be so agonistic";
// Seiga_2
SCEN5LINE173= "CVH: Maybe you should shape up first.\nMy problem is that you might not have\nthe proper reading comprehension\nskills necessary to even read the guide\nfor this game.";
// Seiga_6
SCEN5LINE174= "CVH: And, in turn, you would probably\nend up ruining my chances with this\ngame.";
// Mamz_3 (Yoshika)
SCEN5LINE175= "CBH: \"No, I understand completely, you\nwish for me to talk like this, in a super\npretentious and psuedo-dignified\nmanner, so we may exchange boring\nretorts at one another!\"";
// Mamz_2 (Futo)
SCEN5LINE176= "CBH: \"Or perchance even in a tone such\nas this, broham. I can talk like a total\ndweebmaster for you, if that is what\nyou consider to be fulfilling for an\nanchorite such as yourself!\"";
// Mamz_5 (Murass)
SCEN5LINE177= "CBH: \"Wha' about this? Ain't this\nappealin'? I've got me wee accent goin'\non t' pair up wito me super lame\nchivalrous douche bag natter. Yeah,\nye'd love this every message.\"";
// Nue_2
SCEN5LINE178= "CHB: heh, that was actually pretty\ngood.";
// Ichirin_7
SCEN5LINE179= "CBB: Deadass though it was but i dont\nthink you guys should  be fighting here\nin the memo";
// Seiga_2
SCEN5LINE180= "CVH: I just don't like dealing with\nlow-lives. It's not a very good image to\nput yourself up to. I'm still wondering\nwhether or not they can even read.";
// Seiga_3
SCEN5LINE181= "CVH: Oh yeah, pink text is atrocious, by\nthe way.";
// Ichirin_6
SCEN5LINE182= "CBB: Yes because light blue text is\ninfinitely better?? wow??";
// Seiga_2
SCEN5LINE183= "CVH: Oh no, that was such a sick burn~\nGosh, look at all these winners I'm going\nto be teamed up with!";
// Nue_6
SCEN5LINE184= "CHB: yeah you guys are kind of just... i\ndon't even know... i'm not even gonna\npry.";
// Seiga_2
SCEN5LINE185= "CVH: Now, that I've seen the barbarian\nthat is to be my server player, I'm going\nto take my leave so I can do a few\nthings.";
SCEN5LINE186= "CVH: You're free to just talk as\nyourself. I'd rather have a calm hick\nserve me rather than a crazy,\nsarcastic one.";
// Seiga_1
SCEN5LINE187= "CVH: With that said, goodbye for now~";
// Mamz_6
SCEN5LINE188= "CBH: yeah whatever dude";
SCEN5LINE189= "\c[Seiga]CURRENT vivaciousHollows [CVH]\c- ceased responding to\nmemo.";
SCEN5LINE189a= "CURRENT vivaciousHollows [CVH] ceased responding to memo.";
// Nue_3
SCEN5LINE190= "CHB: wow. she was certainly someone.\nall high and mighty.";
// Nue_2
SCEN5LINE191= "CHB: you've got your hands full.";
// Mamz_4
SCEN5LINE192= "CBH: i guess this is what i get for comin\nin late huh?";
// Nue_6
SCEN5LINE193= "CHB: i guess you should just bite the\nbullet for now. it's temporary anyway!";
// Naz_1
SCEN5LINE194= "CHH: Actually, she'll be sticking around\nnearby for as long as we play this game.";
// Naz_2
SCEN5LINE195= "CHH: Unless she dies.";
// Byak_6
SCEN5LINE196= "CVB: Nazrin, can I ask you not to say\nsuch things, please?";
// Mamz_2
SCEN5LINE197= "CBH: awh man whatever its all just sass\nanyway, so its not that big of a problem";
// Naz_1
SCEN5LINE198= "CHH: I don't know about that, but you're\nfree to be optimistic all you want. She's\nnot my client.";
// Miko_4
SCEN5LINE199= "CVV: none of you totally listened to me\nwhen I said not to cross her. you all\nreally should learn to listen. we're all\nhuman here, right? we should know\nbetter.";
// Mamz_5
SCEN5LINE200= "CBH: naw it was just all bark no bite, i\nhonestly think it aint somethin to be all\nriled up over";
// Kyouko_6
SCEN5LINE201= "CBV: you gotta admit she was being\nsnooty. she even said she already put\ndown her clients stuff before we even\ngot started like... i dunno that just\nseems super shady to me!! !!";
// Mamz_6
SCEN5LINE202= "CBH: ill just set my thing up for her now\nso she wont be all up yellin in my face\nlater";
// Miko_6
SCEN5LINE203= "CVV: GOD. alright, just don't do anything\nstupid like that again, please. especially\nnot with her.";
// Mamz_6
SCEN5LINE204= "CBH: to be honest i was kind of hopin to\nhave made her laugh but i guess that\nbackfired";
// Ichirin_4
SCEN5LINE205= "CBB: Maybe you should apologize to her\nlater??? i mean maybe thatll ease her\nup????";
// Kyouko_6
SCEN5LINE206= "CBV: still shady!! !!";
// Miko_6
SCEN5LINE207= "CVV: just be patient with them.";
SCEN5LINE208= "> Byakuren: Let them deal with things themselves.";
SCEN5LINE209= "Looks like the memo is dying down a bit. There really is\nnothing left for you to do but wait for your turn to serve.";
SCEN5LINE210a= "You should also check your private messages, since the\nserver/client order was sent to you.";
SCEN5LINE210b= "Haha. Very funny. A barrel of laughs.\n\nShe must feel pretty good about herself drawing you like\nthat.";
SCEN5LINE210c= "Either way, she did make the list and the order is fine.\nHopefully everything goes according to plan, the last thing\nyou need is some sort of hiccup this late in the process.";
SCEN5LINE211= "Now would be a good time to grab something for your STRIFE\nSPECIBUS,  but there's no need to rush.\n\nYou're never in a rush to do things anyway.";
SCEN5LINE212= ".";
SCEN5LINE212a= "..";
SCEN5LINE212b= "...";
SCEN5LINE213= "> Byakuren: Check on memo again.";
SCEN5LINE214= "Whoa, wait!\n\nLooks like the memo hasn't died down completely!";
// Miko_5
SCEN5LINE215= "?VV: TWO MEMBERS ON OUR TEAM JUST\nDIED";
// Miko_4
SCEN5LINE216d= "?VV: I MEAN WE DON'T HAVE TEAMS\nANYMORE BUT";
// Miko_6
SCEN5LINE217= "?VV: OH GOD WHAT";
// Byak_6
SCEN5LINE218= "CVB: Calm down, what are you even\ntalking about? I leave for two seconds\nand suddenly things go awry? Maybe\nyou should explain your little prank,\nToyosatomimi.";
// Miko_5
SCEN5LINE219= "?VV: WHAT THE HECK IS THERE TO\nEXPLAIN? THEY DIED";
SCEN5LINE220= "?VV: ARHGH";
// Miko_6
SCEN5LINE221= "?VV: excuse me.";
SCEN5LINE222= "\c[Miko]? victoriousVigilante [?VV]\c- ceased responding to memo.";
SCEN5LINE222a= "? victoriousVigilante [?VV] ceased responding to memo.";
// Byak_6
SCEN5LINE223= "CVB: Does anybody else want to join in on\nwhatever this is? No? Okay, then. As I\nam, you should all just forget about\nwhatever that was and go about\npreparing.";
SCEN5LINE224= "\c[Hijiri]CURRENT virtuousBlossom [CVB]\c- ceased responding to\nmemo.";
SCEN5LINE224a= "CURRENT virtuousBlossom [CVB] ceased responding to memo.";
SCEN5LINE225= "> Byakuren: Be the other girl.";
SCEN5LINE216= ".";
SCEN5LINE216a= "..";
SCEN5LINE216b= "...";
SCEN5LINE227= "Getting ready to install \c[DarkGrey]SKI\c[Grey]MA\c-. Please wait.";
SCEN5LINE227a= "Getting ready to install SKIMA. Please wait.";

////////////////////
// Scenario 4 //////
////////////////////
SCEN4LINE1= "A girl sits alone in her bedroom, planning to talk to someone.\nHer dead-looking eyes suggest she hasn't slept in a long\ntime as she had been fretting over the game for the past\nfew weeks.";
SCEN4LINE2= "She appears to have been the one who had asked for others\nto procure the code as she knew exactly where to obtain it.\nShe knew a lot of things and had no trouble expressing them\nat all.";
SCEN4LINE3= "Let's see what ROTWIENER McDUNKLES' actual name is.\n\nPull out that NAMETAG, if you please?";
SCEN4LINE4= "YOSHIKA MIYAKO";
SCEN4LINE5= "> Be Yoshika.";
SCEN4LINE6= "Your name is YOSHIKA and you've got an INSATIABLE HUNGER\nfor LITERATURE. You love nothing more than GETTING DOWN\nAND DIRTY with CREATIVE WRITING, specifically of the POETRY\ncategory.";
SCEN4LINE7= "Your topics often involve DYSOTOPIAS and other rather\nDARK, DEPRESSING TOPICS. You often base your writing on the\nmany DISTRESSING VISIONS you witness in your wake.";
SCEN4LINE8= "Other times, you write FOOD REVIEWS. When you're not\nwriting, you're obviously EATING as if it were your LAST\nMEAL. You are quite COENACULOUS.";
SCEN4LINE9= "You go by the preachhandle \c[Yoshika]deadlyVerse\c-.";
SCEN4LINE9a= "You go by the preachhandle deadlyVerse.";
SCEN4LINE10= "You tend to \c[Yoshika]speak as a river flows, with no pauses as if\n\c[Yoshika]writing prose.";
SCEN4LINE10a= "You tend to speak as a river flows, with no pauses as if writing prose.";
SCEN4LINE11= "Anyway, you should go about your business.";
SCEN4LINE12= "> Yoshika: Converse with leader.";
SCEN4LINE13= "\c[Yoshika]deadlyVerse [DV]\n\nstarted preaching to\n\n\c[Miko]victoriousVigilante [VV]";
SCEN4LINE13a= "deadlyVerse [DV] started preaching to victoriousVigilante [VV]";
// Yoshika_1
SCEN4LINE14= "DV: Good morrow, Prince, I'm aware it's\nrather late but I have to tell you of this\nas it's rather urgent.";
// Miko_1
SCEN4LINE15= "VV: at ease, Miyako. you can tell me.\n\nwhat is it?";
// Yoshika_4
SCEN4LINE16= "DV: Well, it appears, I had a slight\nmiscalculation... about our fate with\nthis game?";
// Miko_2
SCEN4LINE17= "VV: oh, how so? either way, I'm sure we'll\ndo just fine no matter what it is! we're\ndestined to beat Hijiri.";
// Yoshika_1
SCEN4LINE18= "DV: No, it's not that, it's more that\nthere will be thirteen players rather\nthan twelve as I'd previously stated.";
// Miko_6
SCEN4LINE19= "VV: huh, 13? are you sure about that? I\nhonestly thought that the game only\nallowed even numbers of players.";
// Yoshika_6
SCEN4LINE20= "DV: Something just so unexpected as if\none were venturing across the span of\nan entire highway only to realize you've\nbeen following the wrong road signs,\nunderstand?";
// Miko_4
SCEN4LINE21= "VV: yes, I think so. though, i have to say,\nthis is a rather confusing ordeal.";
// Yoshika_6
SCEN4LINE22= "DV: Yes, it's true that it's quite the\npredicament, as it's not an even\nnumber, but either way, we'll be\ngreatly imbalanced if we continue on\nwith teams.";
// Yoshika_1
SCEN4LINE23= "DV: Perhaps there could be a reason as\nto us being uneven, as it would be unfair\nto rule out a player, especially if\nsomehow, they got their copy to work,\nright?";
// Miko_1
SCEN4LINE24= "VV: yeah, i see truth in that. we don't\nhave to do teams then. i'm fine with\ndaisy chaining with those guys.";
// Miko_6
SCEN4LINE25= "VV: I honestly just hope Hijiri will be okay\nwith that too. she's kind of uptight and\nall.";
// Yoshika_1
SCEN4LINE26= "DV: I already told the hermit about it, in\nfact, I have a feeling that she will be\npestering me about it right now, so I will\nhave to ask for you to excuse me, if\nthat's alright.";
// Miko_1
SCEN4LINE27= "VV: it's fine.";
SCEN4LINE28= "VV: but, before I let you go, do tell me\nthis: does your modified copy work? I\nmean, we're using your old one as a base,\nand I'd like to know if it's functional.";
// Yoshika_1
SCEN4LINE29= "DV: Yes, it works. I just had to have HH\nchange a few things, but they got the\njob done quite well.";
// Miko_3
SCEN4LINE30= "VV: that's good. looks like we're all\nwell-prepared and ready to go.";
// Yoshika_1
SCEN4LINE31= "DV: Right.";
SCEN4LINE32= "\c[Yoshika]deadlyVerse [DV]\n\nceased preaching to\n\n\c[Miko]victoriousVigilante [VV]";
SCEN4LINE32a= "deadlyVerse [DV] ceased preaching to victoriousVigilante [VV]";
SCEN4LINE33= "> Yoshika: Answer... that one.";
SCEN4LINE34= "\c[Seiga]vivaciousHollows [VH]\n\nstarted preaching to\n\n\c[Yoshika]deadlyVerse [DV]";
SCEN4LINE34a= "vivaciousHollows [VH] started preaching to deadlyVerse [DV]";
// Seiga_2
SCEN4LINE35= "VH: Yoshika~";
// Yoshika_1
SCEN4LINE36= "DV: Hello.";
// Seiga_1
SCEN4LINE37= "VH: Did you tell the prince about it? Your\nvision, I mean. Or dreams, whatever you\nwant to call them.";
// Yoshika_1
SCEN4LINE38= "DV: Yes, I have informed her of the\nsituation, and she took it quite well.";
// Seiga_3
SCEN4LINE39= "VH: That's wonderful~ But, it's truly a\nbother, is it not? Knowing that this new\naddition is not on our side?";
// Seiga_2
SCEN4LINE40= "VH: If they were, I would've heard wind of\nthem.";
// Yoshika_1
SCEN4LINE41= "DV: I agree, it's a little concerning.";
// Seiga_2
SCEN4LINE42= "VH: Yes, I knew you'd say something like\nthat! That's why I prepared something\nbeforehand. Just for you, Yoshika. I'm\nsure you'll like it.";
// Yoshika_1
SCEN4LINE43= "DV: Oh, you knew about the 13th player?";
// Seiga_3
SCEN4LINE44= "VH: Well, no, I'm referring to something\nelse. I've been meaning to even out the\nplaying field.\n\nIf you get what I mean.";
// Yoshika_1
SCEN4LINE45= "DV: Are you referring to people on Hijiri's\nside, despite my constant reminders of\nhow you shouldn't meddle with them?";
// Seiga_1
SCEN4LINE46= "VH: Yes. Two of them.";
// Yoshika_5
SCEN4LINE47= "DV: I've warned you before not to start\nquarrels with them, for our sakes too...\nThink, what if they end up turning\nhostile on us? That's something I'd\nwant us to avoid...";
// Seiga_2
SCEN4LINE48= "VH: If there's less of them, then we'll\neventually gain the upper hand.\nEspecially towards the end, don't you\nthink so? Like hell I'll share a prize with\nHijiri and her cohorts.";
// Yoshika_6
SCEN4LINE49= "DV: You are aware that the reason we\nrequire their assistance is to make our\nentry easier, as well as their grounded\ncombat experience... we really need\ntheir trust.";
// Yoshika_5
SCEN4LINE50= "DV: Most of them are going to make the\ngame a cakewalk for all of us, or\nperhaps you're doing this as some sort\nof conquest for revenge? Revenge only\nbegets more revenge!";
// Seiga_4
SCEN4LINE51= "VH: Fine, I won't do anything weird. I was\njust kidding anyway. Geez, Yoshika,\nyou're such a buzz-kill, you know that?";
// Seiga_2
SCEN4LINE52= "VH: But, that's okay, I guesssss~ I mean,\nyou shouldn't be scolding me when\nyou're also a pretty good liar.";
// Yoshika_1
SCEN4LINE53= "DV: ...";
SCEN4LINE53a= "Well.";
// Yoshika_4
SCEN4LINE54= "DV: I'd love to keep chatting with you,\nbut I have to go, something came up.";
// Seiga_2
SCEN4LINE55= "VH: You're so full of shit sometimes. But,\nthat's to be expected since we were all\nborn and raised by hypocrites. We'll be\nlike this from the cradle to the grave.";
SCEN4LINE56= "VH: Spawns of war and peace, like a\nconfused rap-country mashup. We're\njust stories and disciples in the end. Like\nhistory, which is what we will be if we\ndon't get rid of them.";
// Yoshika_1
SCEN4LINE57= "DV: That was the most strangely\npoetic, albeit rather cryptic, message\nI've ever gotten from you.";
// Seiga_3
SCEN4LINE58= "VH: I think it's adorable that you're trying\nto dodge the point here~";
// Yoshika_6
SCEN4LINE59= "DV: You genuinely perceive me to be a\nliar?";
// Seiga_2
SCEN4LINE60= "VH: You know your way around wordplay,\nso of course I do. I'm not saying it's a bad\nthing, since it's a useful skill. It\ncertainly worked for you.";
// Seiga_3
SCEN4LINE61= "VH: We all have a place to go when we die,\nbut you seemed to have avoided it. Aren't\nyou quite the bastard~";
// Seiga_2
SCEN4LINE62= "VH: You should teach me.";
// Yoshika_1
SCEN4LINE63= "DV: That's rather ironic.";
// Seiga_1
SCEN4LINE64= "VH: What was that?";
// Yoshika_1
SCEN4LINE65= "DV: It's nothing, it's unimportant.";
// Yoshika_3
SCEN4LINE66= "DV: You are just overthinking things.";
// Seiga_4
SCEN4LINE67= "VH: I know you're just saying that\nbecause you hate talking to me, don't\nyou? Is it because I called you a liar? :(";
SCEN4LINE68= "VH: See? That's a sad face!";
// Seiga_6
SCEN4LINE69= "VH: Ugh, fine!\n\nI guess it'd be nice if we had an easy\nstart, I suppose.";
// Seiga_4
SCEN4LINE70= "VH: You always mention that you were\ngoing to die later, though, I highly doubt\nit considering that you saw a \"vision\"\nabout it, so you should know how to\navoid it, no?";
// Seiga_5
SCEN4LINE71= "VH: Come on, Yoshika, you're smart. And\nquit avoiding me so much!";
// Yoshika_1
SCEN4LINE72= "DV: I am aware but visions always go as\npredicted, I cannot stop them. That's\nout of my control.";
// Yoshika_6
SCEN4LINE73= "DV: One of the reasons I want to play\nthis game is to be rid of this...\nhindrance... once and for all, as being an\nexempt the last time is perhaps the\nreason I am here now.";
// Seiga_2
SCEN4LINE74= "VH: Last time? What are you talking\nabout? When we were dividing into\nteams or... does it run deeper than\nthat? I can never really read you too\nwell, so please enlighten me.";
// Yoshika_4
SCEN4LINE75= "DV: Apologies, I do not have time to\ncontinue responses, so excuse me, I\nreally have to retrieve my mail, for I\nhave many reasons to believe it could\nbe urgent.";
// Seiga_4
SCEN4LINE76= "VH: Oh.";
SCEN4LINE76a= "\n\nFine.";
SCEN4LINE77= "VH: Yoshika, I'm sorry. Let me make it up\nto you, alright? I'll set up your things\nwhile you go check your mail.";
// Yoshika_1
SCEN4LINE78= "DV: I suppose that's fine.\n\nThank you for understanding.";
SCEN4LINE79= "\c[Yoshika]deadlyVerse [DV]\n\nceased preaching to\n\n\c[Seiga]vivaciousHollows [VH]";
SCEN4LINE79a= "deadlyVerse [DV] ceased preaching to vivaciousHollows [VH]";
SCEN4LINE80= "> Yoshika: Retrieve mail.";
SCEN4LINE81= "> Yoshika: Be someone else.";
SCEN4LINE82= "You must choose another player.";
SCEN4LINE83= "> Be Byakuren once more.";


////////////////////
// Scenario 3 //////
////////////////////
SCEN3LINE1= "> Be Byakuren again.";
SCEN3LINE2= "You are BYAKUREN again.";
SCEN3LINE3= "> Byakuren: Observe neighborhood.";
SCEN3LINE4= "Ah! You can see the package being delivered from your\nbalcony.\n\n\nHonestly, other than the mail carriers...";
SCEN3LINE5= "The roads are empty.";
SCEN3LINE6= "Blood skims the voids in your veins, pumping in uniform\nprecision, as if grazing the hollows of a cut lotus, or say, a\ndespoiled temple.";
SCEN3LINE7= "A primordial note is produced.";
SCEN3LINE8= "It's the one Hesitancy plays to keep its followers at bay.";
SCEN3LINE9= "It is your sixteenth birthday, and as with all fifteen\npreceding it, something feels missing from your life.";
SCEN3LINE10= "The game presently eluding you is only the latest test of\nfaith in the tomes of an unseen anchorite, one to engender\na sense not of fidelity, but of skepticism. Her stark chants\nare those less of a priest than a common tramp.";
